,1st quarter,2nd quarter,3rd quarter,4th quarter
technology,0.130638538,0.11878611,0.147635052,0.12974582
IAmA,0.147397869,0.141403317,0.132698285,0.110413966
trees,0.197511339,0.167684217,0.142964691,0.132712368
Showerthoughts,0.145517689,0.158255793,0.188091877,0.185350669
explainlikeimfive,0.180332696,0.18136369,0.182370358,0.177989034
gifs,0.199913897,0.215986006,0.237251174,0.27997164
politics,0.194791577,0.239484087,0.332748538,0.477495143
movies,0.307179187,0.32281758,0.323743906,0.367829856
WTF,0.35018837,0.356791724,0.340406252,0.285270008
gaming,0.334835812,0.379756863,0.322975382,0.374115685
GlobalOffensive,0.285082758,0.330400074,0.421038228,0.430353662
AdviceAnimals,0.450381061,0.382660995,0.312582542,0.33245598
soccer,0.342209611,0.407522638,0.443662157,0.372239347
DotA2,0.346593815,0.386374621,0.459768515,0.406487163
todayilearned,0.498485678,0.439357653,0.47379368,0.455174334
news,0.370022438,0.476686928,0.479046275,0.561127916
nba,0.457953953,0.648668926,0.386006523,0.46792204
videos,0.472580557,0.486062858,0.514326365,0.495867702
pcmasterrace,0.395534494,0.498048442,0.559473396,0.52360851
worldnews,0.505285244,0.400698426,0.495851698,0.60760586
pics,0.614319323,0.553270469,0.576705493,0.522155645
nfl,0.627085594,0.38911871,0.565264374,0.862752987
funny,0.750568951,0.656789483,0.638180381,0.619059782
leagueoflegends,0.854501516,0.938509428,1,0.907449659